                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    231,                0.52844,                0.28388,                0.90168,                0.98732,                0.97825,                0.98383,                0.79555,                0.88359,                0.33246,                 1.0419,              0.0077329,              0.0077329,              0.0077329
                    232,                0.52775,                0.28339,                0.89748,                0.98832,                0.97771,                0.98528,                0.80133,                 0.8825,                0.33551,                 1.0384,               0.007723,               0.007723,               0.007723
                    233,                0.51647,                0.28088,                0.89767,                0.98835,                0.97958,                 0.9861,                0.80388,                0.87857,                0.32948,                 1.0361,              0.0077131,              0.0077131,              0.0077131
                    234,                0.51705,                0.27998,                 0.8955,                0.99134,                0.98106,                 0.9867,                0.80233,                 0.8881,                0.33246,                 1.0358,              0.0077032,              0.0077032,              0.0077032
                    235,                0.52253,                0.27861,                0.89712,                0.98751,                0.97483,                0.98554,                0.80227,                0.88063,                0.33259,                  1.047,              0.0076933,              0.0076933,              0.0076933
                    236,                0.52444,                0.28059,                0.89999,                0.98274,                0.97083,                0.98334,                0.79615,                0.87957,                0.34572,                 1.0514,              0.0076834,              0.0076834,              0.0076834
                    237,                0.51858,                0.27921,                 0.8961,                0.98525,                0.97491,                0.98456,                0.79839,                 0.8726,                0.33811,                  1.044,              0.0076735,              0.0076735,              0.0076735
                    238,                0.51508,                0.27757,                0.89491,                0.98777,                0.98104,                0.98447,                0.80184,                0.86923,                0.33676,                 1.0466,              0.0076636,              0.0076636,              0.0076636
                    239,                0.51884,                0.28123,                0.89526,                 0.9863,                 0.9776,                0.98535,                0.80351,                0.87238,                0.32756,                 1.0462,              0.0076537,              0.0076537,              0.0076537
                    240,                0.51874,                0.27711,                 0.8919,                0.98542,                0.97204,                0.98452,                0.80213,                0.87136,                0.33988,                 1.0472,              0.0076438,              0.0076438,              0.0076438
                    241,                0.50926,                0.27184,                0.89336,                0.98319,                0.97489,                  0.985,                 0.7988,                0.89052,                0.33375,                 1.0599,              0.0076339,              0.0076339,              0.0076339
                    242,                0.50703,                0.27331,                0.89392,                 0.9824,                0.98101,                0.98649,                0.79844,                 0.8973,                0.33707,                 1.0608,               0.007624,               0.007624,               0.007624
                    243,                0.50277,                0.27036,                0.89358,                0.98684,                0.97602,                0.98624,                0.79719,                0.89826,                0.34038,                 1.0656,              0.0076141,              0.0076141,              0.0076141
                    244,                0.51458,                 0.2772,                0.89594,                0.99002,                0.98289,                0.98648,                0.79759,                0.89452,                0.33961,                 1.0678,              0.0076042,              0.0076042,              0.0076042
                    245,                0.49534,                0.27192,                0.89037,                0.99009,                0.98229,                 0.9847,                0.79844,                0.88912,                0.33451,                 1.0606,              0.0075943,              0.0075943,              0.0075943
                    246,                 0.5008,                0.26972,                0.88951,                0.98969,                0.98313,                0.98764,                0.79407,                0.89425,                0.33524,                 1.0686,              0.0075844,              0.0075844,              0.0075844
                    247,                0.49906,                0.27085,                0.88658,                0.98421,                0.98114,                0.98375,                0.79723,                0.88954,                0.33741,                 1.0587,              0.0075745,              0.0075745,              0.0075745
                    248,                0.50442,                0.27259,                0.89526,                0.98949,                0.98127,                0.98562,                0.80205,                0.88354,                0.33198,                  1.057,              0.0075646,              0.0075646,              0.0075646
